id,name,slug,short_description,description,founded_year,trusted_seller,verified,total_outlets,outlet_range,parent_company,business_type,established_year,units_count,leader_name,leader_role,contact_email,logo_url_circle,logo_url_square,created_by,updated_by,created_at,updated_at
b38c39c0-b9f6-495f-b8be-a65b1c0b9221,Chai Point,chai-point,"India's largest organized tea café chain serving freshly brewed teas, snacks, and beverages across retail and office locations.","Chai Point is India's largest organized tea café chain, offering a wide range of freshly brewed teas, snacks, and beverages. Founded with the mission to serve consistent, high-quality tea across offices, retail outlets, and vending machines, Chai Point combines technology with a love for chai. The brand operates through a strong franchise and vending model, making it one of the most recognizable tea brands in the country.",,false,true,0,,,,,0,,,,/FranchiseHomePage/FranchiseLogos/Circle/chai_point_logo_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/chai_point_logo_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
c8f6989c-d785-4cf7-b127-b7ba288a3314,Cha Republic,cha-republic,Pioneering Indian bubble-tea brand with authentic Far Eastern flavors,"Cha Republic is a pioneering Indian bubble-tea brand that introduced authentic Far Eastern bubble tea to South India, building a strong identity around innovation, global flavors, and its signature purple aesthetic. With a diverse menu of 125+ premium beverages, it operates 15 outlets across Chennai in high-footfall locations.",2012,false,true,15,,Vivanta Resources Pvt Ltd,Private beverage retail franchisor & operator,2012,15,Ms. Vanitha Ramasamy and Ms. Kavitha Devaraju,Promoters / Founding Leaders,,/FranchiseHomePage/FranchiseLogos/Circle/cha_republic-photoaidcom-cropped.jpg,/FranchiseHomePage/FranchiseLogos/Square/cha_republic_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
b297c5b9-82e3-4c3d-88fc-c509ae881207,Chai Topup,chai-topup,"India's first low-investment tea franchise with affordable, high-quality chai","Chai Topup is a fast-growing Indian tea and beverage chain with 37-40 outlets across Maharashtra, Telangana, and Andhra Pradesh, known for affordable, high-quality chai and a diversified menu. Positioned as India's first low-investment tea franchise, it offers entry starting at 1 lakh with strong training, operational support, and quick payback potential.",2022,false,true,37,,Independent brand,Private franchise brand offering single-unit & master franchise opportunities,2022,37,Mr. Pankaj Bhoyar,Founder,,/FranchiseHomePage/FranchiseLogos/Circle/chai_topup_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/chai_topup_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,Cafe Durga,cafe-durga,Maharashtra-based cafe chain known for iconic cold coffee and affordable everyday food,"Cafe Durga is a Maharashtra-based cafe chain founded in 2003 in Pune, widely known for its iconic cold coffee and affordable, everyday food offerings. With 30+ outlets across Pune and other Maharashtra cities, it serves a strong student and working-professional base through a casual, value-driven format and a growing franchise model.",2003,false,true,30,,Individual company,Cafe / Service-provider / Franchise-based Cafe chain,2003,30,Kapil Anil Kulkarni,Founder / Owner,contact@cafedurga.com,/FranchiseHomePage/FranchiseLogos/Circle/cafe_durga_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/cafe_durga_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,Espresso Bar Co.,espresso-bar-co,"Premium bar-themed cafe franchise offering coffee, mocktails, and light food","Espresso Bar Co. is a premium bar-themed cafe franchise offering coffee, mocktails, and light food, operated under Pick Me Foods and Beverages Pvt. Ltd. Positioned as a scalable franchise, it requires an estimated ?20-30 lakh investment and provides end-to-end support for compact outlets, with ambitions for pan-India expansion despite limited current presence.",2019,false,true,0,,Pick Me Foods and Beverages Private Limited,Franchise-based cafe / coffee-bar concept,2019,0,Prashant Kulkarni and Vinaya Kulkarni,Directors,,/FranchiseHomePage/FranchiseLogos/Circle/esspresso_bar_co_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/esspresso_bar_co_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,Indian Silk House Agencies,indian-silk-house-agencies,Prominent Indian ethnic wear retail chain specializing in silk sarees and traditional clothing,"Indian Silk House Agencies is a prominent Indian ethnic wear retail chain specializing in silk sarees, traditional clothing, and fashion accessories. Founded in 1971, when Sri Dilip Kumar Samsukha and Sri Tarun Kumar Samsukha established a new showroom on Rashbehari Avenue in Kolkata, adding ""Agencies"" to the name (the original Indian Silk House was founded by Sri Sumati Chand Samsukha in North Kolkata). The brand became prominent when Mrs. Pratibha Dudhoria took over the Rashbehari showroom in 1998 and significantly expanded operations. The brand has rapidly expanded to over 60+ stores across 10+ states in India. Headquartered in Kolkata, West Bengal, Indian Silk House Agencies has become East India's largest saree brand, known for its authentic heritage silk sarees and quality craftsmanship.",1971,true,true,60,,Allsilks Designers Private Limited,Private Limited Company,1971,60,Mrs. Pratibha Dudhoria,CEO,,/FranchiseHomePage/FranchiseLogos/Circle/silk_house_agencies_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/silk_house_agencies_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
b781fa76-8eaf-4cf9-a15c-b6a1c3503554,Flyrobe,flyrobe,India's first and largest online fashion rental platform offering designer clothing rental for men and women,"Flyrobe is India's first and largest online fashion rental platform, founded in 2015 by Shreya Mishra, Tushar Saxena, and Pranay Surana. Acquired by AARK World Pvt. Ltd. in 2019, it serves 30+ cities online with 20+ physical stores. Flyrobe focuses on sustainable fashion, offering designer ethnic wear, western wear, wedding attire, and accessories at a fraction of retail prices.",2015,false,true,20,,AARK World Pvt. Ltd.,Private Limited Company,2015,20,"Aanchal Saini, Shreya Mishra, Pranay Ashok Surana, Tushar Saxena",Co-Founders / CEO,orders@flyrobe.com,/FranchiseHomePage/FranchiseLogos/Circle/flyrobe_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/flyrobe_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
0e50ed02-6937-4c8d-aa31-b4202a5f77cd,Cotton Culture,cotton-culture,Prominent Indian women's ethnic wear brand offering franchise opportunities,"Cotton Culture is a leading Indian women's ethnic wear fashion brand, established in 2010, with 43-45 company-owned stores and 22 franchise outlets. The brand offers kurtis, suits, tops, palazzos, and coordinated sets, blending traditional textiles with contemporary fashion. Franchise opportunities are available pan-India with full support in marketing, training, and operations.",2010,true,true,0,,,Private Company,2010,0,Qazi Khushnuma Khatoon,Founder,culturecotton8@gmail.com,/FranchiseHomePage/FranchiseLogos/Circle/cotton_culture_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/cotton_culture_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
7e62e026-71a1-4b49-971d-e8bcd1cc4e54,Giordano International Limited,giordano,International casual wear brand offering franchise opportunities in India,"Giordano International Limited is a leading international retailer of men's, women's, and children's apparel founded in Hong Kong in 1981. The brand operates 1,800 stores across 30+ countries and offers franchise opportunities in India through Brandztorm India, with 58 points-of-sale across 23 cities and 13 states. Giordano provides casual wear, accessories, and comprehensive operational support to franchisees.",1981,true,true,0,,Giordano International Limited,Public Limited Company,1981,0,Colin Melville Kennedy Currie,CEO,,/FranchiseHomePage/FranchiseLogos/Circle/giordano_international_limited_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/giordano_international_limited_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
8a873fc8-8a68-461e-81f4-55d7f192f2b1,Liker Store,liker-store,Women's ethnic and western wear retail franchise in India,"Liker Store is a women's clothing retail brand specializing in ethnic and western fashion wear, operating under N&P Singh Private Limited. Founded in 2013, the brand offers premium-quality apparel including kurtis, tops, leggings, lehengas, and western dresses. Franchise opportunities are available across India with focus on tier-1 and tier-2 cities.",2013,true,true,0,,N&P Singh Private Limited,Private Limited Company,2013,10,P. Gautam,Founder,,/FranchiseHomePage/FranchiseLogos/Circle/liker_store_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/liker_store_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
