sr_no,name,short_description,description,established_year,company_name,business_type,ceo_name,ceo_title,ceo_email,entity_type,member_count,min_membership_fee,max_membership_fee,website,industry,category,sector,state,city,association_type,legal_status,json_data
1,Confederation of Indian Industry (CII),India's leading industry association driving competitiveness and sustainable growth.,"CII works to create and sustain an environment conducive to the development of India. A non-government, not-for-profit, industry-led and industry-managed organisation, it plays a proactive role in India's development process.",1895,Confederation of Indian Industry,Non-profit Trade Body,Chandrajit Banerjee,Director General,info@cii.in,association,9000,25000,2500000,https://www.cii.in,"Business Services (B2B, HR, Accounting)",Apex Industry Chamber,Trade & Manufacturing,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""CII works to create and sustain an environment conducive to the development of India. A non-government, not-for-profit, industry-led and industry-managed organisation, it plays a proactive role in India's development process."", ""mission"": ""To create and sustain an environment conducive to the growth of industry in India."", ""vision"": """", ""sector"": ""Trade & Manufacturing"", ""objectives"": [""Partner industry, government and civil society for India's development"", ""Strengthen efficiency, competitiveness and business environment""], ""key_functions"": [""Policy advocacy"", ""Sector-specific councils"", ""International trade facilitation""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Chandrajit Banerjee"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""9000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to policy forums"", ""Networking with industry leaders"", ""Sector councils and committees""], ""mode_of_application"": """", ""application_url"": ""https://www.cii.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@cii.in"", ""website"": ""https://www.cii.in""}}"
2,Federation of Indian Chambers of Commerce & Industry (FICCI),India's oldest and largest apex business organisation.,"FICCI is the voice of India's business and industry. Established in 1927 on the advice of Mahatma Gandhi by Indian businessmen G.D. Birla and Purshottamdas Thakurdas, it is the largest and oldest apex business organisation in India.",1927,Federation of Indian Chambers of Commerce and Industry,Chamber of Commerce,Subhrakant Panda,President,ficci@ficci.com,association,250000,10000,5000000,https://www.ficci.in,"Business Services (B2B, HR, Accounting)",Apex Business Chamber,Trade & Commerce,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FICCI is the voice of India's business and industry. Established in 1927, it is the largest and oldest apex business organisation in India, with a nationwide membership of over 250,000 companies."", ""mission"": ""To be the voice of India's business and industry."", ""vision"": """", ""sector"": ""Trade & Commerce"", ""objectives"": [""Influence policy for inclusive growth"", ""Promote trade and investment""], ""key_functions"": [""Policy advocacy"", ""Trade delegations"", ""Industry research""]}, ""governance"": {""president"": {""name"": ""Subhrakant Panda"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""250000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Networking platforms"", ""Policy representation"", ""Trade fair participation""], ""mode_of_application"": """", ""application_url"": ""https://www.ficci.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""ficci@ficci.com"", ""website"": ""https://www.ficci.in""}}"
3,Associated Chambers of Commerce & Industry of India (ASSOCHAM),One of India's premier apex trade and industry body.,"ASSOCHAM, established in 1920 by a group of chambers led by the Calcutta Traders Association, is one of the oldest and most reputed apex trade and industry bodies in India, representing over 4.5 lakh direct and indirect members.",1920,Associated Chambers of Commerce and Industry of India,Chamber of Commerce,Ajay Singh,President,assocham@assocham.com,association,400000,5000,3000000,https://www.assocham.org,"Business Services (B2B, HR, Accounting)",Apex Trade & Industry Body,Trade & Commerce,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""ASSOCHAM, established in 1920, is one of the oldest and most reputed apex trade and industry bodies in India. It represents the interests of industry and trade, interfaces with government on policy issues."", ""mission"": """", ""vision"": """", ""sector"": ""Trade & Commerce"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Ajay Singh"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""400000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""assocham@assocham.com"", ""website"": ""https://www.assocham.org""}}"
4,PHD Chamber of Commerce and Industry (PHDCCI),A proactive and dynamic apex organisation representing north Indian industry.,"PHD Chamber of Commerce and Industry, established in 1905, is a proactive multi-State apex organisation working at the grass-root level with strong national and international linkages, with a direct membership of over 1,30,000.",1905,PHD Chamber of Commerce and Industry,Chamber of Commerce,Saket Dalmia,President,info@phdcci.in,association,100000,8000,1000000,https://www.phdcci.in,"Business Services (B2B, HR, Accounting)",Apex Industry Chamber,Trade & Services,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""PHD Chamber of Commerce and Industry is a proactive and vibrant apex organisation at the national level, working closely with industry and the government for over 117 years. It represents northern India's business interests."", ""mission"": """", ""vision"": """", ""sector"": ""Trade & Services"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Saket Dalmia"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""100000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@phdcci.in"", ""website"": ""https://www.phdcci.in""}}"
5,Federation of Indian Export Organisations (FIEO),Apex body of Indian export promotion organisations.,"FIEO is the apex trade promotion organisation in India, set up jointly by the Ministry of Commerce & Industry, Government of India, and private trade and industry in 1965. It serves the interests of about 200,000 exporters directly and indirectly.",1965,Federation of Indian Export Organisations,Non-profit Trade Body,A. Sakthivel,President,fieo@fieo.org,association,35000,5000,200000,https://www.fieo.org,"Business Services (B2B, HR, Accounting)",Export Promotion Apex Body,Exports,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FIEO is the apex body of export promotion organisations in India, set up jointly by the Ministry of Commerce & Industry, Government of India and private trade and industry. It promotes India's exports globally."", ""mission"": """", ""vision"": """", ""sector"": ""Exports"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""A. Sakthivel"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""35000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""fieo@fieo.org"", ""website"": ""https://www.fieo.org""}}"
6,National Association of Software and Service Companies (NASSCOM),Premier trade body of India's IT-BPM industry.,"NASSCOM is the premier trade body and chamber of commerce of the IT-BPM industries in India. Founded in 1988 by industry leaders including Harish Mehta, Ashank Desai, Nandan Nilekani, KV Ramani and Saurabh Srivastava, it represents over 3,000 member companies.",1988,National Association of Software and Service Companies,Non-profit Trade Body,Rajesh Nambiar,President,info@nasscom.in,association,3000,15000,6000000,https://www.nasscom.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",IT-BPM Industry Apex Body,IT-BPM,Delhi,New Delhi,National,Section 25 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 25 Company"", ""overview"": {""about"": ""NASSCOM is the premier trade body and the chamber of commerce of the IT-BPM industries in India. Founded in 1988, it represents approximately 95% of the industry's revenue and works to shape and contribute to policy framework that promote development of the IT sector."", ""mission"": ""To establish India's tech ecosystem as the world's trusted innovation partner."", ""vision"": ""To make technology human-centric by enabling and enriching lives."", ""sector"": ""IT-BPM"", ""objectives"": [""Reskill and upskill India's tech workforce"", ""Advocate for policies that promote ease of doing business in tech""], ""key_functions"": [""Policy advocacy"", ""Global trade facilitation"", ""Industry research and strategic review"", ""Skilling and talent council coordination""]}, ""governance"": {""president"": {""name"": ""Rajesh Nambiar"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""3000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to flagship research and Strategic Review reports"", ""Discounted participation in global trade missions and events"", ""Networking and skill certifications""], ""mode_of_application"": ""Online / Offline"", ""application_url"": ""https://www.nasscom.in/membership"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@nasscom.in"", ""website"": ""https://www.nasscom.in""}}"
7,Internet and Mobile Association of India (IAMAI),Industry body for digital business in India.,IAMAI is a non-profit industry body established in 2004 to expand and enhance the online and mobile value-added services sectors. It advocates for a conducive policy environment for the internet and digital industry in India.,2004,Internet and Mobile Association of India,Non-profit Industry Body,Subho Ray,President,info@iamai.in,association,500,25000,1000000,https://www.iamai.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",Internet & Digital Industry Body,Internet & Digital,Maharashtra,Mumbai,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""IAMAI is a non-profit industry body established in 2004 to expand and enhance the online and mobile value-added services sectors. It advocates for a conducive policy environment for the internet and digital industry in India."", ""mission"": """", ""vision"": """", ""sector"": ""Internet & Digital"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Subho Ray"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""500+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""info@iamai.in"", ""website"": ""https://www.iamai.in""}}"
8,Manufacturers Association for Information Technology (MAIT),Apex industry body representing the IT hardware sector.,"MAIT is the apex body for the IT hardware, training, R&D, and associated services industry in India. It was established in 1982 to represent the IT product industry and promote domestic manufacturing.",1982,Manufacturers Association for Information Technology,Non-profit Trade Body,Ali Akhtar Jafri,Executive Director,mait@mait.com,association,150,30000,500000,https://www.mait.com,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",IT Hardware Manufacturers Association,IT Hardware,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""MAIT is the apex body for the IT hardware, training, R&D, and associated services industry in India. It was established in 1982 to represent the IT product industry and promote domestic manufacturing."", ""mission"": """", ""vision"": """", ""sector"": ""IT Hardware"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Ali Akhtar Jafri"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""150+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""mait@mait.com"", ""website"": ""https://www.mait.com""}}"
9,Data Security Council of India (DSCI),India's premier data protection and cybersecurity industry body.,"DSCI is a not-for-profit, industry body on data protection in India, setup by NASSCOM. It works with governments, regulators and industry to promote cybersecurity and privacy best practices, standards, and frameworks.",2008,Data Security Council of India,Non-profit Industry Body,Vinayak Godse,Chief Executive Officer,info@dsci.in,association,350,50000,800000,https://www.dsci.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",Cybersecurity & Data Protection Body,Cybersecurity,Delhi,New Delhi,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""DSCI is a not-for-profit, industry body on data protection in India, setup by NASSCOM. It works with governments, regulators and industry to promote cybersecurity and privacy best practices, standards, and frameworks."", ""mission"": """", ""vision"": """", ""sector"": ""Cybersecurity"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Vinayak Godse"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""350+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@dsci.in"", ""website"": ""https://www.dsci.in""}}"
10,Indian Drug Manufacturers' Association (IDMA),Apex body representing India's pharmaceutical manufacturing industry.,"IDMA, founded in 1961, is the largest and most representative apex organisation for the pharmaceutical manufacturing sector in India, amalgamating 8 State Boards with over 11,000 members across the country.",1961,Indian Drug Manufacturers Association,Non-profit Trade Body,Daara B. Patel,Secretary General,idma@idma-assn.org,association,800,10000,300000,https://www.idma-assn.org,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Pharma Manufacturers Association,Manufacturing,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""IDMA, established in 1961, is the largest and most representative apex organisation for the pharmaceutical manufacturing sector in India. It represents interests of over 800 member companies and facilitates interactions between the industry and government."", ""mission"": """", ""vision"": """", ""sector"": ""Manufacturing"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Daara B. Patel"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""800+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""idma@idma-assn.org"", ""website"": ""https://www.idma-assn.org""}}"
