id,reference_id,entity_type,question,intent_tag,created_at
1f40873b-0e2d-4a2d-9e5f-91b3a1896345,524d8a44-f7da-4cbd-9c94-c417ecf4027a,franchise,How is this [Franchise Category] franchise positioned in the current market?,general,2026-01-11 17:43:57
b137c2df-40d5-4003-880d-e7c57409ed95,524d8a44-f7da-4cbd-9c94-c417ecf4027a,franchise,What key factors influence customer preference for this brand?,general,2026-01-11 17:43:57
4228f666-edb4-454c-9908-50f77425a314,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,How strong is the brand’s recognition and trust at a national level?,general,2026-01-11 17:43:57
d14e9ae2-8e9c-49e5-952f-9a1dbe5b1e4a,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,How does the franchise differentiate itself from competitors in this category?,general,2026-01-11 17:43:57
02f0a409-19db-4b5f-8eb0-0a333d505d3c,64fd1516-f032-4630-8a79-e347851f2e18,franchise,What major market or industry trends impact this [Franchise Category]?,general,2026-01-11 17:43:57
745fd866-be4e-4d23-9e01-dce73153706a,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,How transparent and collaborative is the relationship between franchisor and franchisees?,general,2026-01-11 17:43:57
e98e28bd-608a-45a9-bef2-c149ce570de1,4a104cba-ccd3-4f86-b204-2277660117eb,franchise,What external risks or regulatory factors could affect long-term brand growth?,general,2026-01-11 17:43:57
b7abd221-0aaf-4ee3-ab9e-7d22ac9b8544,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,How sustainable and scalable is the franchise model in the long term?,general,2026-01-11 17:43:57
550e8400-e29b-41d4-a716-446655440001,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,What is the investment required for automobile service franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440002,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,Do I need automotive technical knowledge to run this franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440003,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,How much workshop space is needed for automobile franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440004,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,What equipment and tools are provided by the franchisor?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440005,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,Are there location requirements near highways or main roads?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440006,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,Do automobile franchises provide technical training?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440007,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,What certifications are required for automobile service centers?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440008,5ed3c109-2d23-4148-a019-f347fda26ed4,franchise,Can the franchise service multiple vehicle brands?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440009,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,What is the initial investment for salon franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440010,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,Do beauty franchises require beautician certifications?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440011,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,How many chairs or stations are needed in a salon?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440012,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,What products and supplies are included in the franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440013,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,Are there exclusive territory rights for beauty franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440014,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,What staff training is provided by beauty franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440015,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,Can beauty franchises offer additional services like spa?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440016,42467fa8-06f1-4047-baf5-212e10ea66d8,franchise,What are the typical working hours for salon franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440017,f26791cd-9656-452d-8326-9b9296125906,franchise,What health and wellness franchise models are trending?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440018,f26791cd-9656-452d-8326-9b9296125906,franchise,Do health franchises require medical certifications?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440019,f26791cd-9656-452d-8326-9b9296125906,franchise,What is the initial investment for diagnostic center franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440020,f26791cd-9656-452d-8326-9b9296125906,franchise,How much space is required for a wellness center?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440021,f26791cd-9656-452d-8326-9b9296125906,franchise,What equipment costs are involved in health franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440022,f26791cd-9656-452d-8326-9b9296125906,franchise,Are there regulatory approvals needed for health franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440023,f26791cd-9656-452d-8326-9b9296125906,franchise,Do wellness franchises provide staff training?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440024,f26791cd-9656-452d-8326-9b9296125906,franchise,What is the customer retention rate in wellness businesses?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440025,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,What types of business services franchises are available?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440026,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,What is the initial investment for business service franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440027,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,Do I need industry-specific expertise to run the franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440028,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,What is the typical office space requirement?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440029,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,How many staff members are needed for operations?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440030,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,What technology platforms are provided by franchisors?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440031,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,Are there recurring revenue opportunities in this sector?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440032,c39ecac8-9a1f-4ad3-af64-069b9b315926,franchise,What marketing support do business service franchises provide?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440033,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,What is the investment for dealer and distributor franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440034,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,How much warehouse space is required?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440035,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,What inventory investment is needed upfront?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440036,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,Do franchisors provide inventory on credit terms?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440037,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,What are the typical profit margins for distributors?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440038,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,Are there exclusive territory rights granted?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440039,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,What logistics and transportation support is provided?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440040,cc637398-2762-4b5b-a999-c1a8c5567cfe,franchise,How is inventory management handled in dealerships?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440041,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,What types of education franchises are most successful in India?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440042,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,How much space is needed for a tutoring center franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440043,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,What qualifications are required to run an education franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440044,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,Do education franchises provide curriculum and teaching materials?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440045,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,What is the typical student capacity for education franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440046,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,Are education franchises profitable year-round or seasonal?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440047,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,What technology infrastructure is required for education franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440048,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,franchise,Can education franchises be operated from home or online?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440049,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,What is the initial investment required for a fashion franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440050,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,How much retail space is needed for apparel franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440051,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,What are the most popular fashion franchise categories?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440052,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,Do fashion franchises provide inventory on consignment?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440053,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,What is the expected profit margin in fashion retail?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440054,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,Are online sales channels included in franchise agreements?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440055,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,What marketing support do fashion franchises provide?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440056,3b1b6be7-d616-4c46-a470-2a2fc1d16691,franchise,How seasonal is the fashion franchise business?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440057,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,What are the most profitable food franchise models in India?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440058,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,How much space is typically required for a QSR franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440059,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,What is the average ROI timeline for food and beverage franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440060,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,Are there specific location requirements for restaurant franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440061,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,What staff size is needed to operate a food franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440062,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,Do food franchises provide training and ongoing support?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440063,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,What are the typical royalty fees for food franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440064,7b332bd1-117a-4b40-92a1-aa8c5267a02b,franchise,Can food franchises operate from cloud kitchens or mobile units?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440065,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,What home-based business franchises have low investment?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440066,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,Can I run a home-based franchise part-time?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440067,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,What are the zoning and legal requirements for home businesses?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440068,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,Do home-based franchises provide online training?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440069,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,What marketing support is available for home businesses?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440070,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,How much space is needed within the home?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440071,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,What are the typical revenue expectations?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440072,1e4a2772-e991-4e90-b77b-2724809f5dbc,franchise,Can home-based franchises scale to commercial locations?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440073,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,What is the investment for hotel franchises in India?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440074,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,What property size is required for budget hotels?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440075,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,Do hotel franchises provide staff training?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440076,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,What are the location requirements for hotel franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440077,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,"What technology systems are provided (booking, PMS)?",general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440078,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,How do revenue sharing models work in hospitality?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440079,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,What brand standards must be maintained?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440080,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,franchise,Are there minimum occupancy guarantees?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440081,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,What are the different types of retail franchises available?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440082,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,How much inventory investment is required upfront?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440083,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,What retail space size is ideal for different categories?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440084,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,Do retail franchises provide inventory on credit?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440085,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,What is the typical profit margin in retail franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440086,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,Are there exclusive territorial rights in retail franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440087,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,What point-of-sale systems do retail franchises use?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440088,ae11be80-bea3-4d0e-a35a-c964451b1a20,franchise,How do retail franchises handle returns and exchangs?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440089,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,What is the average investment for a gym franchise?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440090,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,How much space is needed for a fitness studio?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440091,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,Do fitness franchises provide certified trainers?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440092,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,What equipment is included in the franchise package?,general,206-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440093,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,Are there membership sales targets for fitness frachises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440094,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,What marketing support do fitness franchises provide?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440095,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,Can fitness franchises operate 24/7 or have flexible hours?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440096,ead42b5a-26e6-4bd2-a2e3-bb8709ede483,franchise,What is the break-even timeline for gym franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440097,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,What entertainment franchise models are most popular?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440098,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,What is the initial investment for entertainment franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440099,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,How much space is required for gaming or activity centers?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440100,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,What equipment and technology is provided?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440101,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,Are there location requirements (malls vs standalone)?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440102,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,What safety certifications are required?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440103,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,How seasonal is the entertainment business?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440104,a28de9c3-9d0d-4058-8782-1211f20ffd1d,franchise,What marketing and promotional support is provided?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440105,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What government service franchises are available?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440106,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What is the investment for CSC (Common Service Center)?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440107,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What certifications are required for government services?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440108,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What technology infrastructure is needed?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440109,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What are the revenue models for government services?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440110,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,Is training provided for government schemes and services?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440111,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,What documentation and compliance is required?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440112,f494351f-bfb3-411d-a178-d1905bd0616e,franchise,Are there location requirements for service centers?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440113,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,What is the investment for real estate franchises?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440114,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,Do I need a real estate agent license?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440115,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,What office space is required for rea estate agencies?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440116,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,"What technology platforms are provided (CRM, listings)?",general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440117,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,How do commission structures work?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440118,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,What training is provided on propertylaws and RERA?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440119,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,Are there exclusive territory rights?,general,2026-01-30 10:00:00
550e8400-e29b-41d4-a716-446655440120,1a821422-d8eb-484f-a280-8af8f6b79144,franchise,What marketing and lead generation support is available?,general,2026-01-30 10:00:00
