id,name,slug,icon_name,icon_url,color_hex,color_name,listing_title,listing_description,display_order,is_active,is_featured,meta_title,meta_description,created_at,updated_at
00000000-0000-0000-0000-000000000000,General,general,,,#6B7280,,,,,TRUE,FALSE,,,2026-1-8 20:55,2026-1-8 20:55
5ed3c109-2d23-4148-a019-f347fda26ed4,Automotive,automotive,,/FranchiseHomePage/industry-automobiles.png,#D32F2F,Engine Red,Automotive Franchises,"India's automotive sector is growing rapidly with increasing demand for vehicle services, repairs, and accessories. Franchise opportunities range from car servicing and detailing to EV charging stations and spare parts distribution. Low to medium investment with strong recurring revenue from vehicle maintenance needs.",1,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
42467fa8-06f1-4047-baf5-212e10ea66d8,Beauty,beauty,,/FranchiseHomePage/industry-beauty-salon.png,#E91E63,Rose Pink,Beauty & Salon Franchises,"The beauty and wellness industry in India is one of the fastest-growing sectors with rising consumer spending on personal care. Franchise opportunities include salons, spas, skincare clinics, and grooming studios across all city tiers. High repeat customer base ensures stable monthly revenue.",2,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
f26791cd-9656-452d-8326-9b9296125906,Health,health,,/FranchiseHomePage/industry-health-wellness.png,#00897B,Medical Teal,Health & Wellness Franchises,"Healthcare and wellness franchises are in high demand as Indians become more health-conscious post-pandemic. Opportunities span diagnostic centers, physiotherapy clinics, ayurvedic wellness centers, and nutrition consultancies. Recession-resistant sector with strong growth potential in tier 2 and tier 3 cities.",3,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
c39ecac8-9a1f-4ad3-af64-069b9b315926,Business Services,business-services,,/FranchiseHomePage/industry-business.png,#1E3A8A,Corporate Blue,Business Services Franchises,"Business services franchises cater to the booming MSME and startup ecosystem in India. Opportunities include accounting, HR, digital marketing, staffing, and B2B support services. Low infrastructure requirement with high-margin recurring service contracts.",4,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
cc637398-2762-4b5b-a999-c1a8c5567cfe,Dealers & Distributors,dealers-distributors,,/FranchiseHomePage/industry-dealers-distribution.png,#F59E0B,Industrious Yellow,Dealer & Distributor Franchises,"Dealer and distributor franchises offer a proven model for product distribution across FMCG, electronics, industrial goods, and more. Ideal for entrepreneurs with existing trade networks and warehouse infrastructure. Strong brand backing with exclusive territorial rights in most models.",5,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
f5fe36f6-02ef-4ca5-b884-30d22b5402cf,Education,education,,/FranchiseHomePage/industry-education.png,#3949AB,Knowledge Blue,Education Franchises,"Education is one of India's most resilient and high-demand franchise sectors with millions of students seeking quality learning. Opportunities span coaching centers, skill development institutes, preschools, and e-learning centers. Government push for education infrastructure makes this a long-term growth sector.",6,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
3b1b6be7-d616-4c46-a470-2a2fc1d16691,Fashion,fashion,,/FranchiseHomePage/fashion.png,#111111,Luxury Black,Fashion & Apparel Franchises,"Fashion and apparel franchises offer entry into India's booming retail market driven by rising aspirations and brand consciousness. Opportunities include clothing stores, footwear, ethnic wear, and accessories across all price segments. Strong festive and seasonal demand cycles ensure high-revenue periods throughout the year.",7,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
7b332bd1-117a-4b40-92a1-aa8c5267a02b,Food & Beverage,food-beverage,,/FranchiseHomePage/industry-food.png,#FF7043,Food Orange,Food & Beverage Franchises,"Food and beverage is India's largest and most diverse franchise sector with opportunities across QSR, cafes, cloud kitchens, and specialty cuisine. High footfall-driven revenue with strong brand recognition accelerates customer acquisition. Scalable models available from kiosks under 5 lakhs to full restaurant setups.",8,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
1e4a2772-e991-4e90-b77b-2724809f5dbc,Home-Based Business,home-based-business,,/FranchiseHomePage/industry-retail.png,#546E7A,Comfort Gray,Home-Based Business Franchises,"Home-based franchise models offer flexible entrepreneurship with minimal overhead and no commercial space requirement. Opportunities span tutoring, consulting, digital services, and direct selling from the comfort of your home. Ideal for working professionals, homemakers, and first-time entrepreneurs seeking low-risk entry.",9,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
d8e835b1-07dd-4279-93b4-5049cfb1c6d6,"Hotel, Travel & Tourism",hotel-travel-tourism,,/FranchiseHomePage/Industry_Icons/HOSPITALITY%20&%20LODGING.png,#0066CC,Travel Blue,"Hotel, Travel & Tourism Franchises","India's travel and tourism industry is recovering strongly with domestic and international travel at record highs. Franchise opportunities include travel agencies, hotel chains, tour operations, and homestay networks across leisure and business travel segments. Growing middle class and affordable air travel are key demand drivers.",10,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
ae11be80-bea3-4d0e-a35a-c964451b1a20,Retail,retail,,/FranchiseHomePage/Industry_Icons/Retail.png,#EF5350,Retail Red,Retail Franchises,"Retail franchises offer a proven path to entrepreneurship with established brand recognition and supply chain support. Opportunities span grocery, electronics, pharmacy, specialty retail, and convenience stores. India's retail sector is expected to reach $2 trillion by 2032 making this an ideal time to invest.",11,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
ead42b5a-26e6-4bd2-a2e3-bb8709ede483,Sports & Fitness,sports-fitness,,/FranchiseHomePage/Industry_Icons/sports-fitness.png,#198754,Active Green,Sports & Fitness Franchises,"The fitness industry in India is experiencing explosive growth driven by health awareness and urbanization. Franchise opportunities include gyms, yoga studios, sports academies, and fitness equipment retail. Subscription-based revenue model ensures predictable monthly cash flow.",12,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
a28de9c3-9d0d-4058-8782-1211f20ffd1d,Entertainment,entertainment,,/FranchiseHomePage/Industry_Icons/entertainment.png,#9C27B0,Vibrant Purple,Entertainment Franchises,"Entertainment franchises cater to India's young and aspirational population seeking unique leisure experiences. Opportunities include gaming zones, kids activity centers, escape rooms, and event management franchises. High footfall locations in malls and commercial areas drive strong walk-in revenue.",13,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
f494351f-bfb3-411d-a178-d1905bd0616e,Government,government,,/FranchiseHomePage/Industry_Icons/GOVERNMENT%20&%20UTILITY%20SERVICES.png,#0D47A1,Authoring Blue,Government Service Franchises,"Government service franchises provide essential citizen services including documentation, utility payments, and e-governance solutions. Backed by government mandates ensuring steady and predictable transaction volumes. Ideal for entrepreneurs seeking a socially impactful and stable business model.",14,TRUE,FALSE,,,2026-1-8 20:55,2026-1-8 20:55
1a821422-d8eb-484f-a280-8af8f6b79144,Real Estate,real-estate,,/FranchiseHomePage/Industry_Icons/real-estate.png,#37474F,Concrete Gray,Real Estate Franchises,"Real estate franchises offer a high-income opportunity in India's booming property market across residential and commercial segments. Opportunities include brokerage firms, property management, and real estate consulting with strong transaction-based commissions. Growing urbanization and housing demand ensure long-term sector growth.",15,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
64fd1516-f032-4630-8a79-e347851f2e18,Technology / IT,technology-it,,/FranchiseHomePage/Industry_Icons/technology.png,#2962FF,Digital Blue,Technology & IT Franchises,"Technology and IT franchises address the massive digital transformation happening across Indian businesses of all sizes. Opportunities include IT support, software reselling, cybersecurity, and digital marketing services. High-margin recurring revenue from software subscriptions and annual maintenance contracts.",16,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
4a104cba-ccd3-4f86-b204-2277660117eb,Finance / Banking,finance-banking,,/FranchiseHomePage/Industry_Icons/FINANCIAL%20SERVICES.png,#004D40,Trust Green,Finance & Banking Franchises,"Finance and banking franchises provide essential financial services including loans, insurance, investments, and banking correspondents. Huge untapped market in semi-urban and rural India with government push for financial inclusion. Regulated sector with strong brand credibility driving customer trust.",17,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
26d2b88d-ddbf-45b7-a016-9379064270a9,Logistics / Manufacturing,logistics-manufacturing,,/FranchiseHomePage/Industry_Icons/logistics-manufacturing.png,#283593,Industrial Steel,Logistics & Manufacturing Franchises,"Logistics franchises are booming driven by e-commerce growth and supply chain modernization across India. Opportunities include last-mile delivery, warehousing, courier services, and light manufacturing units. Asset-light models available with strong volume-based revenue from e-commerce partners",18,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
985ff825-8855-4dec-9615-6d83578ef2cf,Agriculture,agriculture,,/FranchiseHomePage/Industry_Icons/AGRICULTURE%20&%20SUSTAINABILITY%20(1).png,#558B2F,Eco Green,Agriculture Franchises,"Agriculture franchises offer unique opportunities in India's largest employment sector undergoing rapid modernization. Opportunities span agri-inputs, organic farming, rural retail, and agri-tech services for farmers. Government subsidies and rural development schemes provide additional business support.",19,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
e42b13ce-89ed-481f-98ab-36ac53927ee4,Media / Communication,media-communication,,/FranchiseHomePage/Industry_Icons/media-communication.png,#0288D1,Media Blue,Media & Communication Franchises,"Media and communication franchises cover digital content, advertising, printing, and telecom services in India's rapidly evolving media landscape. Opportunities range from digital marketing agencies to print shops and telecom retail outlets. Growing digital ad spend and smartphone penetration create strong demand across all segments.",20,TRUE,TRUE,,,2026-1-8 20:55,2026-1-8 20:55
