id,industry_id,industry_slug,intent_tag,growth_rate_title,growth_rate_description,market_trend_title,market_trend_description,created_at,updated_at
d1e3c109-2d23-4148-a019-f347fda26ed4,5ed3c109-2d23-4148-a019-f347fda26ed4,automotive,general,Growth Rate,"The automotive service franchise market in India is growing at 8-10% annually, supported by increasing vehicle ownership, extended vehicle lifecycles, and preference for organized service centers over local mechanics.",Market Trend,"EV charging stations, multi-brand service centers, and technology-enabled diagnostics are growing segments. Doorstep pickup/delivery services, transparent pricing, and warranty packages are becoming competitive advantages in the market.",2026-01-30 00:00:00,2026-01-30 00:00:00
e2467fa8-06f1-4047-baf5-212e10ea66d8,42467fa8-06f1-4047-baf5-212e10ea66d8,beauty,general,Growth Rate,"Beauty and personal care franchises are expanding at 14-16% annually, driven by rising grooming consciousness among both men and women, increase in working professionals, and strong demand for wedding-related services.",Market Trend,"Unisex salons, organic and natural beauty products, men's grooming services, and bridal makeup studios are trending. Technology integration for online bookings, loyalty programs, and personalized service packages are key differentiators.",2026-01-30 00:00:00,2026-01-30 00:00:00
a36791cd-9656-452d-8326-9b9296125906,f26791cd-9656-452d-8326-9b9296125906,health,general,Growth Rate,"Health and wellness franchises are experiencing robust 18-22% annual growth, driven by increased health awareness, preventive healthcare focus, and wellness lifestyle adoption post-pandemic across all age groups.",Market Trend,"Diagnostic centers, pharmacy chains, home healthcare services, and wellness clinics are in high demand. Digital health integration, telemedicine capabilities, health packages, and immunity-focused services are emerging as essential offerings.",2026-01-30 00:00:00,2026-01-30 00:00:00
b49ecac8-9a1f-4ad3-af64-069b9b315926,c39ecac8-9a1f-4ad3-af64-069b9b315926,business-services,general,Growth Rate,"Business services franchises are growing at 10-12% annually, fueled by the startup ecosystem boom, SME growth, and increasing outsourcing of non-core business functions by companies across sectors.",Market Trend,"Digital marketing agencies, accounting and bookkeeping services, HR consulting, and co-working spaces are popular segments. Cloud-based service delivery, subscription models, and integrated business solutions are becoming industry standards.",2026-01-30 00:00:00,2026-01-30 00:00:00
c5637398-2762-4b5b-a999-c1a8c5567cfe,cc637398-2762-4b5b-a999-c1a8c5567cfe,dealers-distributors,general,Growth Rate,"Dealer and distributor franchises are expanding at 9-11% annually, driven by FMCG sector growth, e-commerce logistics demand, and the need for organized distribution networks in tier 2 and tier 3 cities.",Market Trend,"FMCG distribution, pharmaceutical wholesale, electronics distribution, and agri-input dealerships are thriving. Technology-enabled inventory management, route optimization, and digital payment integration are becoming essential for competitiveness.",2026-01-30 00:00:00,2026-01-30 00:00:00
d6fe36f6-02ef-4ca5-b884-30d22b5402cf,f5fe36f6-02ef-4ca5-b884-30d22b5402cf,education,general,Growth Rate,"The education franchise sector is experiencing 12-15% annual growth, fueled by increasing demand for quality education, skill development programs, early childhood learning, and competitive exam preparation services.",Market Trend,"Hybrid learning models combining online and offline education, STEM-focused programs, coding academies, and competitive exam preparation centers are seeing strong demand. EdTech integration, personalized learning paths, and outcome-based programs are becoming differentiators.",2026-01-30 00:00:00,2026-01-30 00:00:00
e71b6be7-d616-4c46-a470-2a2fc1d16691,3b1b6be7-d616-4c46-a470-2a2fc1d16691,fashion,general,Growth Rate,"Fashion retail franchises are growing at 10-12% annually in tier-2 and tier-3 cities, with increasing brand consciousness, rising purchasing power among middle-class consumers, and social media influence on fashion trends.",Market Trend,"Athleisure, sustainable fashion, ethnic wear, and fast fashion segments are showing strong growth. Omnichannel retail strategies combining physical stores with online presence, influencer marketing, and try-before-buy options are becoming necessary for success.",2026-01-30 00:00:00,2026-01-30 00:00:00
f8332bd1-117a-4b40-92a1-aa8c5267a02b,7b332bd1-117a-4b40-92a1-aa8c5267a02b,food-beverage,general,Growth Rate,"The food and beverage franchise market in India is growing at 15-18% annually, driven by urbanization, rising disposable income, changing eating habits among millennials and Gen Z, and the convenience economy.",Market Trend,"Quick service restaurants, cloud kitchens, healthy food options, and beverage chains are dominating the market. Technology integration for delivery aggregators, digital payments, contactless ordering, and kitchen automation has become essential post-pandemic.",2026-01-30 00:00:00,2026-01-30 00:00:00
194a2772-e991-4e90-b77b-2724809f5dbc,1e4a2772-e991-4e90-b77b-2724809f5dbc,home-based-business,general,Growth Rate,"Home-based business franchises are experiencing 14-17% annual growth, driven by the gig economy, work-from-home culture, low investment requirements, and desire for flexible entrepreneurship among women and retirees.",Market Trend,"Online tutoring, digital marketing services, handmade products, home bakery, and consulting services are popular segments. Low overhead costs, digital marketing focus, and subscription-based service models are making home businesses increasingly viable.",2026-01-30 00:00:00,2026-01-30 00:00:00
20e835b1-07dd-4279-93b4-5049cfb1c6d6,d8e835b1-07dd-4279-93b4-5049cfb1c6d6,hotel-travel-tourism,general,Growth Rate,"Hotel, travel, and tourism franchises are rebounding with 13-16% annual growth post-pandemic, supported by revenge travel trends, domestic tourism boom, and government initiatives like Incredible India and Dekho Apna Desh.",Market Trend,"Budget hotels, eco-tourism, adventure travel, homestays, and experiential travel are trending segments. Technology integration for online bookings, dynamic pricing, travel insurance packages, and contactless check-in/out are becoming industry standards.",2026-01-30 00:00:00,2026-01-30 00:00:00
