sr_no,name,short_description,description,established_year,company_name,business_type,ceo_name,ceo_title,ceo_email,entity_type,member_count,min_membership_fee,max_membership_fee,website,industry,category,sector,state,city,association_type,legal_status,json_data
1,Confederation of Indian Industry (CII),India's leading industry association driving competitiveness and sustainable growth.,"CII works to create and sustain an environment conducive to the development of India. A non-government, not-for-profit, industry-led and industry-managed organisation, it plays a proactive role in India's development process.",1895,Confederation of Indian Industry,Non-profit Trade Body,R. Mukundan,President (2026-27),info@cii.in,association,9700,,,https://www.cii.in,"Business Services (B2B, HR, Accounting)",Apex Industry Chamber,Trade & Manufacturing,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""CII works to create and sustain an environment conducive to the development of India, partnering industry, Government, and civil society through advisory and consultative processes. Founded in 1895, CII has direct membership of around 9,700 members and indirect membership of over 3,65,000 enterprises from 318 national and regional industry bodies."", ""mission"": ""To create and sustain an environment conducive to the growth of industry in India, partnering industry and government alike through advisory and consultative processes."", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Partner industry, government and civil society for India's development"", ""Strengthen efficiency, competitiveness and business environment""], ""key_functions"": [""Policy advocacy"", ""Sector-specific councils"", ""International trade facilitation"", ""B20 India Secretariat (2023 G20 Presidency)""]}, ""governance"": {""president"": {""name"": ""R. Mukundan"", ""company"": ""Tata Chemicals Ltd (MD & CEO)""}, ""vice_presidents"": [{""name"": ""Shashwat Goenka"", ""company"": ""RP-Sanjiv Goenka Group (Vice Chairman)""}], ""secretary_general"": {""name"": ""Chandrajit Banerjee"", ""company"": ""Director General, CII (since May 2008)""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Direct Members"", ""value"": ""9,700+""}, {""label"": ""Indirect Members"", ""value"": ""3,65,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to policy forums"", ""Networking with industry leaders"", ""Sector councils and committees""], ""mode_of_application"": """", ""application_url"": ""https://www.cii.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@cii.in"", ""website"": ""https://www.cii.in""}}"
2,Federation of Indian Chambers of Commerce & Industry (FICCI),India's oldest and largest apex business organisation.,"FICCI is the voice of India's business and industry. Established in 1927 on the advice of Mahatma Gandhi by Indian businessmen G.D. Birla and Purshottamdas Thakurdas, it is the largest and oldest apex business organisation in India.",1927,Federation of Indian Chambers of Commerce and Industry,Chamber of Commerce,Anant Goenka,President (2025-26),ficci@ficci.com,association,,,,https://ficci.in,"Business Services (B2B, HR, Accounting)",Apex Business Chamber,Trade & Commerce,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FICCI is a non-governmental trade association and advocacy group based in India, established in 1927 on the advice of Mahatma Gandhi by Indian businessman G.D. Birla and Purshottamdas Thakurdas. FICCI will celebrate its centenary on 7th April 2027."", ""mission"": ""To be the voice of India's business and industry."", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Influence policy for inclusive growth"", ""Promote trade and investment""], ""key_functions"": [""Policy advocacy"", ""Trade delegations"", ""Industry research""]}, ""governance"": {""president"": {""name"": ""Anant Goenka"", ""company"": ""RPG Group (Vice Chairman); also former Chairman, Automotive Tyre Manufacturers Association""}, ""vice_presidents"": [{""name"": ""Puneet Dalmia"", ""company"": ""Dalmia Bharat Limited (MD & CEO)""}], ""secretary_general"": {""name"": ""Jyoti Vij"", ""company"": ""Director General, FICCI""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""FICCI Tamil Nadu State Council"", ""headquarters_address"": ""Chennai, Tamil Nadu"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Networking platforms"", ""Policy representation"", ""Trade fair participation""], ""mode_of_application"": """", ""application_url"": ""https://ficci.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""ficci@ficci.com"", ""website"": ""https://ficci.in""}}"
3,Associated Chambers of Commerce & Industry of India (ASSOCHAM),One of India's premier apex trade and industry bodies.,"ASSOCHAM, established in 1920 by a group of chambers led by the Calcutta Traders Association, is one of the oldest and most reputed apex trade and industry bodies in India, representing over 4.5 lakh direct and indirect members.",1920,Associated Chambers of Commerce and Industry of India,Chamber of Commerce,Nirmal Kumar Minda,President,,association,450000,,,https://www.assocham.org,"Business Services (B2B, HR, Accounting)",Apex Trade & Industry Body,Trade & Commerce,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""ASSOCHAM is a non-governmental trade association and advocacy group based in New Delhi, representing the interests of trade and commerce in India. Established in 1920, it operates with more than 100 national and regional sector councils."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Promote domestic and international trade"", ""Reduce trade barriers""], ""key_functions"": [""Make in India advocacy"", ""MSME support"", ""Ease of Doing Business"", ""Digital Economy"", ""Sustainability & Environment""]}, ""governance"": {""president"": {""name"": ""Nirmal Kumar Minda"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Col. Saurabh Sanyal (Retd.)"", ""company"": ""Secretary General, ASSOCHAM (since Jan 2026)""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""ASSOCHAM Gujarat Council"", ""headquarters_address"": ""Gujarat"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""4,50,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {""Conclaves"": [{""title"": ""AI Summit 2025"", ""description"": ""Global AI Leadership Meet organised by ASSOCHAM.""}]}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://www.assocham.org""}}"
4,PHD Chamber of Commerce and Industry (PHDCCI),A proactive and dynamic apex organisation representing north Indian industry.,"PHD Chamber of Commerce and Industry, established in 1905, is a proactive multi-State apex organisation working at the grass-root level with strong national and international linkages, with a direct membership of over 1,30,000.",1905,PHD Chamber of Commerce and Industry,Chamber of Commerce,Ranjeet Mehta,CEO & Secretary General,sg@phdcci.in,association,130000,,,https://www.phdcci.in,"Business Services (B2B, HR, Accounting)",Apex Industry Chamber,Trade & Services,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""PHD Chamber of Commerce and Industry is a proactive, dynamic National Apex Chamber working at the grass-root level with strong national and international linkages, authorised by the Government of India to issue certificates of origin for exports and recommendations for visas."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [], ""key_functions"": [""Research-based policy advocacy"", ""Certificate of Origin issuance"", ""Visa recommendations""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Ranjeet Mehta"", ""company"": ""CEO & Secretary General, PHDCCI""}}, ""regional_structure"": {""governance_model"": ""Multi-State"", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""PHDCCI Rajasthan"", ""headquarters_address"": ""Rajasthan"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [{""label"": ""Direct Members"", ""value"": ""1,30,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Geographic spread"", ""Conferencing facilities"", ""Networking"", ""Interface with Government""], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {""Reports"": [{""title"": ""Annual Reports"", ""description"": ""PHDCCI publishes annual reports and research studies on economic development.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": [{""title"": ""PHDCCI Business Practices & Awards 2025"", ""description"": ""Annual recognition programme for business excellence.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""PHD House, 4/2 Siri Institutional Area, August Kranti Marg, New Delhi 110016, India"", ""phone_number"": ""+91-11-26863801-04"", ""email"": ""sg@phdcci.in"", ""website"": ""https://www.phdcci.in""}}"
5,Federation of Indian Export Organisations (FIEO),Apex body of Indian export promotion organisations.,"FIEO is the apex trade promotion organisation in India, set up jointly by the Ministry of Commerce & Industry, Government of India, and private trade and industry in 1965. It serves the interests of about 200,000 exporters directly and indirectly.",1965,Federation of Indian Export Organisations,Non-profit Trade Body,Dr. Ajay Sahai,Director General & CEO,ajaysahai@fieo.org,association,200000,,,https://fieo.org,"Business Services (B2B, HR, Accounting)",Export Promotion Apex Body,Exports,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FIEO is the apex trade promotion organisation in India, premier body of all export promotion councils, commodity boards and export development authorities. It is ISO 9001:2015 certified and maintains the Indian Trade Portal."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry / Exports"", ""objectives"": [], ""key_functions"": [""Export facilitation"", ""Certificate of Origin issuance"", ""Trade fairs and B2B matchmaking"", ""Niryat Shree and Niryat Bandhu Awards""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Dr. Ajay Sahai"", ""company"": ""Director General & CEO, FIEO""}}, ""regional_structure"": {""governance_model"": ""Regional"", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Exporters Served"", ""value"": ""2,00,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {""Step 1"": ""Apply for e-RCMC membership via FIEO website""}, ""benefits"": [""Certificate of Origin"", ""Buyer-Seller Meets"", ""Trade fair participation""], ""mode_of_application"": ""Online (e-RCMC)"", ""application_url"": ""https://fieo.org"", ""member_login_url"": """"}, ""services_offered"": [{""name"": ""Niryat Mitra App"", ""description"": ""Access to publications, event calendar, policy updates, GST rates and export incentives.""}], ""programs"": {}, ""events"": {""Trade Fairs"": [{""title"": ""International Trade Fairs 2025-26"", ""description"": ""Annual calendar of global trade fair participation for exporters.""}]}, ""publications"": {""Magazines"": [{""title"": ""FIEO Monthly News Magazine"", ""description"": ""Trade and commerce magazine with worldwide readership.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""Enterprise Europe Network"", ""relation"": ""International Partner"", ""website"": """"}]}, ""awards"": {""list"": [{""title"": ""Niryat Shree Award"", ""description"": ""Awarded to outstanding exporters.""}, {""title"": ""Niryat Bandhu Award"", ""description"": ""Awarded to export facilitators.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Niryat Bhawan, Opp. Army Hospital, Rao Tula Ram Marg, New Delhi 110057, India"", ""phone_number"": ""+91-11-26150111"", ""email"": ""ajaysahai@fieo.org"", ""website"": ""https://fieo.org""}}"
6,National Association of Software and Service Companies (NASSCOM),Premier trade body of India's IT-BPM industry.,"NASSCOM is the premier trade body and chamber of commerce of the IT-BPM industries in India. Founded in 1988 by industry leaders including Harish Mehta, Ashank Desai, Nandan Nilekani, KV Ramani and Saurabh Srivastava, it represents over 3,000 member companies.",1988,National Association of Software and Service Companies,Non-profit Trade Body,,President,,association,3000,,,https://www.nasscom.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",IT-BPM Industry Apex Body,IT-BPM,Delhi,New Delhi,National,Section 25 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 25 Company"", ""overview"": {""about"": ""NASSCOM is an Indian non-governmental trade association serving the Indian technology industry. Its core values are defined by the ELICIT framework (Excellence, Learning, Impact, Collaboration, Inclusion, Trust). NASSCOM advocates for the $283 billion technology sector."", ""mission"": ""To establish India's tech ecosystem as the world's trusted innovation partner, expanding the country's pool of relevant and skilled talent."", ""vision"": ""To make technology human-centric by enabling and enriching lives, positioning India's tech ecosystem as the world's trusted innovation partner."", ""sector"": ""Information Technology"", ""objectives"": [""Reskill and upskill India's tech workforce"", ""Advocate for policies that promote ease of doing business in tech""], ""key_functions"": [""Policy advocacy"", ""Global trade facilitation"", ""Industry research and Strategic Review"", ""Skilling and talent council coordination""]}, ""governance"": {""president"": {""name"": ""Debjani Ghosh"", ""company"": ""First woman President of NASSCOM (tenure dates not confirmed for current cycle)""}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Member Companies"", ""value"": ""3,000+""}, {""label"": ""Industry Revenue Share Represented"", ""value"": ""~95%""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to flagship Strategic Review reports"", ""Discounted participation in global trade missions"", ""Networking and skill certifications""], ""mode_of_application"": ""Online / Offline"", ""application_url"": ""https://www.nasscom.in/membership"", ""member_login_url"": """"}, ""services_offered"": [{""name"": ""FutureSkills Prime"", ""description"": ""Industry-driven reskilling platform launched 2019 in partnership with MeitY, covering 155+ competencies across 70+ roles in 10 emerging technologies.""}], ""programs"": {""Skilling"": [{""title"": ""FutureSkills Prime"", ""description"": ""Reskilling platform for AI, cloud, cybersecurity and more.""}]}, ""events"": {""Annual"": [{""title"": ""NASSCOM Technology & Leadership Forum (NTLF)"", ""description"": ""34th edition flagship event held at Fairmont Mumbai.""}, {""title"": ""NASSCOM People Summit"", ""description"": ""Gathering of CHROs, CEOs, CIOs on future of work.""}, {""title"": ""NASSCOM SME Confluence (NSC)"", ""description"": ""Multi-city tech SME gathering with roadshows.""}]}, ""publications"": {""Reports"": [{""title"": ""Technology Sector in India: Strategic Review"", ""description"": ""Annual flagship industry research report.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""Ministry of Electronics and IT (MeitY)"", ""relation"": ""Government Partner"", ""website"": """"}]}, ""awards"": {""list"": [{""title"": ""SME Inspire Awards"", ""description"": ""National awards programme for technology MSMEs across 21 categories.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://www.nasscom.in""}}"
10,Indian Drug Manufacturers' Association (IDMA),Apex body representing India's pharmaceutical manufacturing industry.,"IDMA, founded in 1961, is the largest and most representative apex organisation for the pharmaceutical manufacturing sector in India, amalgamating 8 State Boards with over 11,000 members across the country.",1961,Indian Drug Manufacturers Association,Non-profit Trade Body,Viranchi Shah,National President,feedback@idmaindia.com,association,11000,,,https://idma-assn.org,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Pharma Manufacturers Association,Pharmaceutical Manufacturing,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""IDMA represents the national sector of Indian manufacturers engaged in producing bulk actives and formulations, amalgamating 8 State Boards (Gujarat, Himachal Pradesh & Uttaranchal, Haryana, Tamil Nadu, West Bengal, Madhya Pradesh, Telangana, Karnataka) with over 11,000 members."", ""mission"": """", ""vision"": """", ""sector"": ""Pharmaceuticals"", ""objectives"": [""Quality improvement and global compliance"", ""Harmonization of pharmacopoeias""], ""key_functions"": [""Representation to Government authorities"", ""GMP workshops"", ""Pharmaceutical Analyst Conventions (since 1997)""]}, ""governance"": {""president"": {""name"": ""Dr. Viranchi Shah"", ""company"": ""Saga Lifesciences Ltd.""}, ""vice_presidents"": [{""name"": ""(Sr. Vice President)"", ""company"": ""Inga Laboratories Pvt. Ltd.""}], ""secretary_general"": {""name"": ""Daara B. Patel"", ""company"": ""Secretary General, IDMA""}}, ""regional_structure"": {""governance_model"": ""8 State Boards"", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": [{""name"": ""IDMA Gujarat State Board (GSB)"", ""headquarters_address"": ""Gujarat - largest state board with 350+ members"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""11,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Weekly IDMA Bulletin (55th year)"", ""Monthly journal Indian Drugs (61st year)"", ""GMP training and workshops""], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {""Quality"": [{""title"": ""National cGMP Day"", ""description"": ""Annual day celebrating commitment to quality and safety standards, observed 10th October.""}]}, ""events"": {""Annual"": [{""title"": ""IDMA Annual Day & Vriddhi"", ""description"": ""62nd edition held in 2024.""}, {""title"": ""Pharmaceutical Analyst Convention (PAC)"", ""description"": ""24th edition in 2025, held annually since 1997.""}]}, ""publications"": {""Journals"": [{""title"": ""Indian Drugs"", ""description"": ""Monthly scientific and technical journal, published for 61+ years.""}], ""Bulletins"": [{""title"": ""IDMA Bulletin"", ""description"": ""Weekly communication bulletin, in its 55th year.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""Indian Pharmacopoeia Commission"", ""relation"": ""Technical Partner"", ""website"": """"}]}, ""awards"": {""list"": [{""title"": ""IDMA Quality Excellence Awards"", ""description"": ""For manufacturing of APIs and Formulations.""}, {""title"": ""IDMA Margi Memorial Best Patent Award"", ""description"": ""For best patents granted in India and abroad.""}, {""title"": ""IDMA Corporate Citizen Award"", ""description"": ""Recognizes humanitarian CSR activities of members.""}, {""title"": ""IDMA Research Awards"", ""description"": ""For original research papers published in Indian Drugs.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""102-B, Poonam Chambers, Dr. A.B. Road, Worli, Mumbai 400018, India"", ""phone_number"": ""+91-22-2494 4624"", ""email"": ""feedback@idmaindia.com"", ""website"": ""https://idma-assn.org""}}"
11,Organisation of Pharmaceutical Producers of India (OPPI),Apex body of research-based pharmaceutical companies in India.,"OPPI is the apex body of research-based global pharmaceutical companies in India, established in 1965. Member firms account for around 60% of the total pharmaceuticals market and 50% of drug export industry.",1965,Organisation of Pharmaceutical Producers of India,Non-profit Trade Body,Anil Matai,Director General,,association,,,,https://www.indiaoppi.com,"Health (Medical, Diagnostic & Wellness)",Research Pharma Producers Body,Pharmaceuticals,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""OPPI represents research-based global pharmaceutical companies in India, an integral part of India's healthcare journey since pre-independence. In 2025 OPPI celebrated its Diamond Jubilee (60 years since 1965 founding)."", ""mission"": ""Building a healthier India through access to Innovation."", ""vision"": ""An organisation of research and innovation driven pharmaceutical companies committed to addressing India's healthcare needs."", ""sector"": ""Pharmaceuticals"", ""objectives"": [""Facilitate greater access to quality healthcare solutions"", ""Encourage research and innovation"", ""Disseminate knowledge and best practices"", ""Contribute to policy dialogues""], ""key_functions"": [""Advocacy on Innovation, Access and Ease of Doing Business"", ""Code of Pharmaceutical Practices (ethics)""]}, ""governance"": {""president"": {""name"": ""Bhushan Akshikar"", ""company"": ""Appointed President, 2024""}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Anil Matai"", ""company"": ""Director General, OPPI""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Market Share of Members"", ""value"": ""~60%""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {""Patient Initiatives"": [{""title"": ""Bharat Ke Liye"", ""description"": ""Initiative launched March 2023 highlighting OPPI's commitment to healthier India.""}]}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {""Ethics"": [{""title"": ""Code of Pharmaceutical Practices"", ""description"": ""Stringent ethics and CGMP compliance code for member companies.""}]}, ""partnerships"": {""list"": [{""name"": ""IFPMA"", ""relation"": ""International Federation Member"", ""website"": ""https://www.ifpma.org""}]}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Peninsula Corporate Park, Peninsula Chambers, Ground Floor, Ganpatrao Kadam Marg, Lower Parel, Mumbai 400013, India"", ""phone_number"": ""+91-22-2491 8123"", ""email"": """", ""website"": ""https://www.indiaoppi.com""}}"
12,Indian Pharmaceutical Alliance (IPA),Alliance of India's leading domestic pharmaceutical companies.,"IPA was founded in August 1999 by Dilip G Shah along with Cipla, Dr. Reddy's, Lupin, Piramal, Ranbaxy and Wockhardt to promote the cause of generic drugs in India. It now represents 24 leading Indian pharma companies.",1999,Indian Pharmaceutical Alliance,Non-profit Trade Body,Sudarshan Jain,Secretary General,,association,24,,,https://www.ipa-india.org,"Health (Medical, Diagnostic & Wellness)",Pharma Alliance,Pharmaceuticals,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""IPA is an alliance of 24 leading Indian pharmaceutical companies, founded in 1999 to promote the cause of generic drugs and represent research-based national pharmaceutical companies in India. Nearly 1 in 5 generic medicines used worldwide is manufactured in India."", ""mission"": """", ""vision"": """", ""sector"": ""Pharmaceuticals"", ""objectives"": [], ""key_functions"": [""Policy engagement with Government"", ""Regulatory trust building"", ""Biologics and mRNA capability development with CPI""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [{""name"": ""Archana Jatkar"", ""company"": ""Associate Secretary General, IPA""}], ""secretary_general"": {""name"": ""Sudarshan Jain"", ""company"": ""Secretary General, IPA""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Member Companies"", ""value"": ""24""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {""Reports"": [{""title"": ""Pharma Industry and Government Collaboration"", ""description"": ""IPA-PwC report on India's pharma response and reform.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""PwC"", ""relation"": ""Research Partner"", ""website"": """"}]}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://www.ipa-india.org""}}"
13,All India Organisation of Chemists & Druggists (AIOCD),National body of licensed drug retail chemists and druggists.,"AIOCD is the national apex organisation for licensed chemists and druggists in India, established in 1961, representing about 800,000 members - stockists, pharmacies and retailers across the country.",1961,All India Organisation of Chemists and Druggists,Trade Body,J. S. Shinde,President,,association,800000,,,https://aiocd.com,"Dealers & Distributors (FMCG, Electronics Distribution)",Chemists & Druggists Trade Body,Pharma Trade / Distribution,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""AIOCD is the national apex organisation for licensed chemists and druggists in India, representing about 800,000 members including stockists, pharmacies and retailers."", ""mission"": """", ""vision"": """", ""sector"": ""Pharma Retail / Distribution"", ""objectives"": [], ""key_functions"": [""Retail trade representation"", ""Pharmacy regulation advocacy""]}, ""governance"": {""president"": {""name"": ""J. S. Shinde"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""8,00,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://aiocd.com""}}"
